Name,Location
Rakuten, Japan
NTT Data, Japan
Mercari, Japan
Nomura, Japan
Japan Third Party, Japan
Fast Retailing, Japan
Akai, Japan
Brother, Japan
Capcom, Japan
Canon, Japan
Casio, Japan
Citizen, Japan
Fujifilm, Japan
Fujitsu, Japan
Hitachi, Japan
JVCKenwood, Japan
Konica Minolta, Japan
Kyocera, Japan
Mitsubishi Electric, Japan
NEC, Japan
Nikon, Japan
Nintendo, Japan
Olympus, Japan
Onkyo, Japan
Panasonic, Japan
Pioneer, Japan
Ricoh, Japan
Seiko Group, Japan
Sharp, Japan
Sony, Japan
TDK, Japan
Toshiba, Japan
Yamaha, Japan
Meta, 
Amazon, 
Apple, 
Netflix, 
Google,
IBM,
Intel,
Cadence
